ID,PlayerName,GamesPlayed,GamesStarted,MinutesPerGame,OffensiveRebounds,DeffensiveRebounds,TotalRebounds,ReboundsPerGame
191,C. Kispert,9,0,29.8,1,25,26,2.9
192,T. Mann,10,0,25.1,9,20,29,2.9
193,D. Schroder,11,11,34.9,2,30,32,2.9
194,J. Battle,10,0,14.6,10,18,28,2.8
195,C. LeVert,10,0,23.4,6,22,28,2.8
196,K. Martin Jr.,8,1,17.8,4,18,22,2.8
197,J. McDaniels,10,10,28.3,11,17,28,2.8
198,C. Williams,9,6,22.9,6,19,25,2.8
199,J. Huff,11,0,15.6,6,24,30,2.7
200,J. Walker,10,0,9.0,9,18,27,2.7
201,A. Black,11,1,24.6,10,20,30,2.7
202,K. Johnson,10,0,12.3,5,22,27,2.7
203,N. Alexander-Walker,10,0,23.1,6,20,26,2.6
204,C. Anthony,9,0,12.1,3,20,23,2.6
205,M. Bagley III,7,0,6.1,7,11,18,2.6
206,S. Castle,11,4,23.3,7,22,29,2.6
207,K. Lowry,9,6,24.9,4,19,23,2.6
208,S. Mamukelashvili,9,0,8.4,5,18,23,2.6
209,P. Pritchard,11,0,28.2,9,20,29,2.6
210,J. Walker,10,0,13.7,5,21,26,2.6
211,K. Caldwell-Pope,11,11,29.4,6,21,27,2.5
212,B. Fernando,8,0,7.9,10,10,20,2.5
213,D. Mitchell,11,8,28.0,7,21,28,2.5
214,K. Murray,11,0,13.4,13,15,28,2.5
215,G. Dick,11,11,31.9,6,20,26,2.4
216,A. Jackson Jr.,9,3,15.7,4,18,22,2.4
217,A. Len,8,0,7.8,0,19,19,2.4
218,C. Sexton,9,7,25.8,2,20,22,2.4
219,G. Allen,8,0,20.3,5,13,18,2.3
220,P. Connaughton,10,0,16.4,4,19,23,2.3
221,M. McBride,9,0,26.8,4,17,21,2.3
222,I. Okoro,12,5,20.3,11,17,28,2.3
223,D. Powell,9,0,9.3,7,14,21,2.3
224,J. Alvarado,11,7,25.6,6,18,24,2.2
225,A. Coffey,11,0,23.3,5,19,24,2.2
